Customer_ID,subscription_type,start_date,years_active,no_of_other_postpaid_accounts,frequent_availed_top_up_amount_30days,postpaid_plan_30days,monthly_revenue,no_of_top_ups_30days,last_date_top_up,days_since_last_two_top_ups,cellsite,no_of_days_subscribed_to_Call_Text_30days,no_of_days_subscribed_to_GoSurf_30days,no_of_days_subscribed_to_GoWatch_30days,no_of_days_subscribed_to_OtherApps_30days,total_hours_internet_usage_30days,total_hours_OtherApps_usage_30days,no_of_failed_Call_Text_30days,no_of_failed_Surfing_30days,no_of_failed_143hotline_30days,no_of_call_records_Complaint_30days,mins_of_call_records_Complaint_30days,no_of_logged_GlobeOne_30days,Survey_Score
0917-6175644215,postpaid,11/05/2011,7.7,0,200,799,999,1,5/25/2019,14,CN-23,28,14,20,19,262,271,18,27,20,8,2,3,0
0917-6623377098,postpaid,3/30/2010,9.32,0,103,599,702,1,5/15/2019,24,CN-1,2,27,26,4,128,160,27,12,1,7,25,23,0
0917-1905956249,postpaid,9/18/2009,9.86,0,40,1299,1339,1,5/22/2019,17,CN-12,4,30,2,26,268,97,23,11,22,10,28,14,0
0917-4951759108,prepaid,6/18/2014,5.04,0,300,0,400,2,4/16/2019,53,CN-25,18,12,16,16,255,157,21,18,16,8,15,13,3
0917-1815882415,prepaid,5/27/2018,1.05,0,100,0,400,5,05/04/2019,35,CN-13,25,29,28,22,273,119,3,22,5,9,16,9,0
0917-4276283282,prepaid,10/04/2015,3.73,0,50,0,146,2,5/25/2019,14,CN-25,1,6,6,0,41,13,5,29,10,1,30,26,0
0917-7567573179,postpaid,07/07/2013,6,0,701,999,1700,1,06/03/2019,5,CN-16,18,23,10,21,292,188,17,1,24,2,16,21,0
0917-3542614243,postpaid,06/11/2009,10.14,1,17,599,616,1,5/19/2019,20,CN-25,1,7,19,2,74,244,18,21,30,4,16,1,0
0917-9503828288,prepaid,9/16/2013,5.81,0,15,0,70,2,4/23/2019,46,CN-3,3,3,0,0,194,257,27,24,15,9,12,2,9
0917-5944031009,prepaid,06/07/2012,7.1,0,100,0,400,5,04/09/2019,60,CN-24,28,12,14,22,300,78,9,11,10,10,3,23,0
0917-6689931384,prepaid,3/25/2014,5.28,0,100,0,500,3,4/17/2019,52,CN-19,26,27,10,7,128,131,14,2,20,1,20,2,0
0917-8202931150,postpaid,5/29/2015,4.09,1,0,799,799,1,06/02/2019,6,CN-8,7,25,15,30,114,128,7,26,8,3,28,27,0
0917-4089821742,prepaid,9/23/2017,1.73,0,20,0,81,1,04/02/2019,67,CN-4,4,3,1,0,271,132,19,29,1,10,18,25,0
0917-3379336294,prepaid,09/07/2017,1.77,0,100,0,400,2,5/31/2019,8,CN-10,9,29,18,14,24,232,12,5,10,3,1,22,9
0917-5663724450,prepaid,9/27/2010,8.82,0,50,0,163,1,4/25/2019,44,CN-22,3,4,2,0,177,275,10,26,22,5,30,26,0
0917-1721002252,postpaid,4/27/2011,8.23,0,219,999,1218,1,5/25/2019,14,CN-8,16,15,20,12,165,90,2,20,11,5,17,10,0
0917-6143257203,postpaid,9/16/2014,4.79,1,200,599,799,1,5/26/2019,13,CN-16,1,15,15,14,152,93,2,8,7,10,8,19,0
0917-2257669671,prepaid,01/12/2019,0.41,0,50,0,111,2,5/27/2019,12,CN-15,2,1,7,0,261,169,5,25,18,1,3,10,0
0917-4721578015,postpaid,3/16/2012,7.33,0,39,999,1038,1,5/29/2019,10,CN-19,9,9,8,2,232,298,12,15,13,4,6,11,7
0917-5991778144,postpaid,03/02/2016,3.31,0,301,599,900,1,5/25/2019,14,CN-23,22,23,12,20,291,259,10,1,20,8,13,17,7
0917-7215787273,postpaid,8/15/2011,7.93,5,400,599,999,1,5/18/2019,21,CN-13,23,21,5,3,252,233,10,10,1,4,25,4,7
0917-7565000485,prepaid,11/15/2013,5.64,0,100,0,300,3,5/23/2019,16,CN-1,21,21,13,23,31,196,8,21,18,9,19,28,0
0917-7807641869,prepaid,8/17/2015,3.86,0,50,0,134,1,04/08/2019,61,CN-15,1,7,2,0,69,197,8,23,30,6,21,2,10
0917-8137957611,postpaid,08/11/2018,0.84,0,200,599,799,1,06/03/2019,5,CN-2,21,27,12,25,110,139,21,25,7,8,20,1,9
0917-3855724352,prepaid,12/31/2010,8.56,0,300,0,400,2,05/05/2019,34,CN-4,17,7,11,0,43,75,20,12,29,9,15,29,0
0917-9262107769,postpaid,03/08/2019,0.25,3,0,599,599,1,5/18/2019,21,CN-25,4,21,22,13,178,143,24,22,1,6,15,1,0
0917-6747610934,prepaid,1/19/2013,6.47,0,100,0,500,3,5/19/2019,20,CN-23,25,13,23,23,113,2,8,23,11,1,17,4,0
0917-1656250566,prepaid,12/09/2015,3.55,0,100,0,400,3,5/23/2019,16,CN-18,21,13,17,4,6,204,18,10,4,5,29,11,10
0917-6206740961,prepaid,10/17/2016,2.68,0,100,0,200,2,5/19/2019,20,CN-20,2,4,4,0,195,212,4,7,13,3,3,20,10
0917-8141778099,postpaid,4/24/2011,8.24,0,101,799,900,1,5/18/2019,21,CN-9,16,30,11,9,28,8,1,15,13,4,17,6,0
0917-1946660105,prepaid,07/04/2009,10.07,0,100,0,400,2,5/14/2019,25,CN-18,8,7,26,0,252,228,19,4,14,8,22,9,9
0917-7499091424,prepaid,09/05/2013,5.84,0,30,0,132,2,4/13/2019,56,CN-8,0,5,4,0,97,284,13,30,21,8,4,6,0
0917-1488371069,prepaid,11/20/2015,3.6,0,30,0,146,1,4/30/2019,39,CN-6,7,4,1,0,200,86,2,24,6,5,9,14,8
0917-1906080461,prepaid,10/25/2011,7.73,0,50,0,88,1,5/24/2019,15,CN-24,7,1,1,0,205,9,24,9,16,8,18,3,7
0917-8562689556,prepaid,03/02/2010,9.4,0,50,0,54,1,5/15/2019,24,CN-10,4,3,1,0,202,91,11,2,14,2,30,29,0
0917-2295602084,prepaid,9/15/2009,9.87,0,20,0,76,2,5/23/2019,16,CN-7,1,2,1,0,159,300,16,9,3,9,14,10,7
0917-4961227462,postpaid,06/11/2010,9.12,0,500,999,1499,1,5/25/2019,14,CN-13,28,7,22,5,241,139,26,4,5,1,8,11,0
0917-9066687031,prepaid,08/03/2014,4.92,0,100,0,400,5,05/05/2019,34,CN-11,19,24,9,11,132,55,5,20,8,6,23,23,8
0917-6509776782,postpaid,06/12/2015,4.05,1,131,799,930,1,5/20/2019,19,CN-11,11,13,18,24,291,139,18,11,10,6,20,8,0
0917-9791982785,postpaid,2/22/2017,2.32,0,200,799,999,1,5/16/2019,23,CN-15,29,28,7,3,136,156,22,15,30,7,1,15,9
0917-4678138657,postpaid,2/21/2015,4.35,0,200,799,999,1,5/25/2019,14,CN-15,25,2,22,25,177,86,11,14,18,7,6,26,0
0917-1217584072,postpaid,12/23/2016,2.49,1,279,599,878,1,05/12/2019,27,CN-20,4,16,30,16,24,93,26,25,9,7,28,24,0
0917-9233332350,prepaid,4/29/2014,5.18,0,20,0,94,3,04/01/2019,68,CN-8,1,3,3,0,30,254,4,2,17,1,15,27,8
0917-9388612221,prepaid,12/08/2009,9.64,0,300,0,300,2,5/22/2019,17,CN-11,8,25,11,29,103,9,26,3,14,2,15,26,9
0917-5986492521,prepaid,10/28/2018,0.62,0,30,0,103,1,5/14/2019,25,CN-12,3,0,7,0,193,246,8,28,30,9,26,1,5
0917-4773088280,prepaid,06/05/2011,8.12,0,100,0,500,6,04/05/2019,64,CN-18,16,23,14,15,158,190,3,17,2,3,29,3,0
0917-2672576106,prepaid,04/12/2013,6.24,0,300,0,400,2,4/21/2019,48,CN-11,7,23,26,0,148,35,27,12,16,10,10,5,0
0917-2923531798,prepaid,11/26/2018,0.54,0,100,0,100,2,4/30/2019,39,CN-20,3,3,2,0,239,219,10,20,22,3,10,26,0
0917-5541204388,postpaid,8/26/2011,7.9,0,228,599,827,1,5/16/2019,23,CN-6,22,27,26,19,143,135,16,13,15,1,20,4,3
0917-9851319598,prepaid,3/21/2017,2.25,0,100,0,200,3,04/09/2019,60,CN-18,7,5,1,0,169,281,10,4,22,6,13,6,8
0917-3286571342,prepaid,3/15/2014,5.31,0,100,0,400,5,4/21/2019,48,CN-9,16,16,25,19,198,181,21,6,2,10,6,20,7
0917-1998199209,prepaid,06/03/2018,1.03,0,100,0,100,2,5/14/2019,25,CN-16,2,2,3,0,65,12,17,2,27,7,4,16,0
0917-3405925137,prepaid,05/04/2014,5.17,0,100,0,400,3,4/30/2019,39,CN-6,23,21,7,0,61,285,6,25,15,4,26,28,9
0917-3913761274,prepaid,3/24/2015,4.27,0,100,0,400,5,4/20/2019,49,CN-21,20,26,13,7,98,37,9,29,19,6,25,7,7
0917-2587485219,postpaid,10/03/2013,5.76,1,251,999,1250,1,5/25/2019,14,CN-11,23,20,27,2,225,125,28,10,1,8,20,28,8
0917-2888146470,postpaid,10/02/2015,3.74,0,189,799,988,1,5/22/2019,17,CN-3,27,2,16,21,87,274,1,6,17,1,24,17,0
0917-6373894844,postpaid,10/02/2009,9.82,0,0,599,599,1,06/03/2019,5,CN-25,10,3,10,19,8,241,27,27,10,1,18,29,0
0917-9309463064,prepaid,07/03/2010,9.06,0,100,0,300,2,4/22/2019,47,CN-13,14,26,17,7,62,133,9,9,22,2,21,16,0
0917-7785390295,postpaid,9/17/2009,9.86,5,0,799,799,1,06/01/2019,7,CN-19,30,24,9,14,191,76,28,12,9,10,11,17,9
0917-7451982153,postpaid,06/03/2017,2.04,1,82,999,1081,1,5/18/2019,21,CN-8,16,23,6,17,282,114,1,21,20,6,14,12,0
0917-1287643422,postpaid,02/08/2013,6.42,0,17,799,816,1,5/25/2019,14,CN-3,28,24,18,10,56,136,1,22,14,2,26,6,9
0917-8674955917,prepaid,5/26/2018,1.05,0,100,0,400,4,06/01/2019,7,CN-21,12,7,24,0,59,107,16,2,17,2,2,9,0
0917-9211019616,prepaid,05/11/2010,9.21,0,50,0,74,1,5/25/2019,14,CN-16,6,3,1,0,236,249,6,8,29,3,2,8,7
0917-4074861803,prepaid,07/07/2009,10.06,0,50,0,112,1,04/01/2019,68,CN-13,4,3,3,0,199,141,27,5,4,1,16,26,0
0917-5597499172,postpaid,5/25/2010,9.17,0,500,999,1499,1,5/19/2019,20,CN-3,28,4,27,30,284,99,21,24,3,2,28,13,0
0917-5456031590,postpaid,1/26/2013,6.45,1,0,599,599,1,5/20/2019,19,CN-9,12,6,20,25,33,4,29,1,22,7,28,26,0
0917-3803706617,prepaid,11/28/2012,6.62,0,100,0,1000,11,5/24/2019,15,CN-13,30,26,9,8,268,74,5,30,10,6,29,12,3
0917-7109065997,prepaid,02/12/2018,1.34,0,500,0,800,2,5/16/2019,23,CN-10,15,17,17,21,61,236,5,21,26,4,7,7,9
0917-9337633096,prepaid,07/08/2016,2.96,0,30,0,70,2,4/28/2019,41,CN-12,6,2,1,0,172,156,3,9,28,8,11,15,0
0917-3466035848,prepaid,07/08/2011,8.03,0,50,0,176,1,04/06/2019,63,CN-7,5,1,3,0,86,20,16,26,6,8,7,3,0
0917-7879126867,postpaid,01/11/2013,6.5,0,200,599,799,1,5/22/2019,17,CN-7,15,13,3,27,145,80,15,22,11,5,20,6,10
0917-2407673293,prepaid,11/22/2009,9.68,0,30,0,163,2,04/12/2019,57,CN-20,6,3,5,0,90,222,7,11,7,2,9,27,7
0917-7031100334,postpaid,7/29/2016,2.9,0,39,999,1038,1,05/11/2019,28,CN-18,22,12,18,5,290,204,7,16,12,8,25,20,0
0917-7458155879,prepaid,12/19/2018,0.47,0,50,0,119,1,05/04/2019,35,CN-3,7,0,6,0,234,141,21,10,22,7,17,3,9
0917-3871761963,postpaid,5/14/2010,9.2,0,700,799,1499,1,5/25/2019,14,CN-12,27,6,29,20,83,237,1,6,25,9,5,20,0
0917-4646627558,prepaid,04/10/2012,7.26,0,100,0,300,4,05/12/2019,27,CN-4,14,10,20,4,136,48,10,22,9,9,5,10,7
0917-9638329698,postpaid,3/21/2009,10.36,0,225,1299,1524,1,5/18/2019,21,CN-25,18,28,4,17,108,289,24,22,13,3,7,26,0
0917-6277911662,prepaid,1/24/2018,1.39,0,50,0,161,2,5/14/2019,25,CN-17,4,4,6,0,271,270,3,2,16,2,2,16,10
0917-3239519290,postpaid,02/12/2016,3.37,0,236,799,1035,1,5/20/2019,19,CN-18,13,24,14,18,69,230,15,1,20,2,29,20,8
0917-6437179095,prepaid,12/31/2011,7.54,0,100,0,100,2,5/20/2019,19,CN-16,3,0,3,0,264,79,6,25,25,6,10,27,9
0917-3928151171,postpaid,4/21/2018,1.15,0,240,1999,2239,1,5/20/2019,19,CN-25,27,16,14,23,160,275,21,30,14,7,16,25,9
0917-7614626129,postpaid,2/18/2009,10.45,0,0,599,599,1,5/15/2019,24,CN-19,10,6,30,12,77,298,1,10,23,4,24,23,10
0917-1317306546,prepaid,04/07/2015,4.23,0,500,0,509,2,4/23/2019,46,CN-19,15,12,16,19,44,112,17,14,27,1,1,22,9
0917-7776617289,postpaid,12/24/2010,8.58,0,242,799,1041,1,05/11/2019,28,CN-22,29,11,23,20,284,32,30,20,5,4,22,12,0
0917-3941473613,postpaid,04/11/2013,6.25,4,265,999,1264,1,5/27/2019,12,CN-17,18,25,24,7,215,99,4,21,6,4,13,25,0
0917-9161029745,prepaid,01/01/2017,2.47,0,20,0,181,6,05/05/2019,34,CN-16,7,6,3,0,206,25,24,25,21,3,30,2,0
0917-6859928761,prepaid,04/02/2010,9.32,0,100,0,500,3,05/10/2019,29,CN-23,13,11,7,0,291,182,12,6,9,7,18,15,9
0917-7857458483,prepaid,4/29/2010,9.24,0,30,0,75,1,05/09/2019,30,CN-2,4,0,0,0,105,73,25,14,5,4,5,9,9
0917-9078470910,prepaid,02/08/2009,10.48,0,100,0,300,2,04/04/2019,65,CN-21,23,25,12,21,125,253,28,6,13,7,29,19,9
0917-8523560964,postpaid,11/25/2014,4.6,0,291,799,1090,1,5/25/2019,14,CN-3,27,22,16,12,124,54,16,17,6,6,3,10,0
0917-8931748749,prepaid,8/13/2017,1.84,0,100,0,400,4,4/30/2019,39,CN-20,7,17,27,0,113,215,30,5,15,5,13,15,0
0917-4984876731,prepaid,9/25/2011,7.81,0,300,0,400,2,4/24/2019,45,CN-21,9,30,8,30,166,49,21,2,24,4,26,19,0
0917-8889554727,prepaid,12/19/2014,4.53,0,100,0,100,2,5/31/2019,8,CN-12,0,3,0,0,166,213,19,1,22,3,7,30,10
0917-3796933038,prepaid,6/30/2011,8.05,0,20,0,110,3,5/29/2019,10,CN-11,3,0,2,0,58,30,8,12,18,4,19,8,3
0917-6837268534,prepaid,12/23/2014,4.52,0,300,0,300,2,4/17/2019,52,CN-19,27,30,16,26,66,157,28,29,6,9,17,17,9
0917-1742611234,prepaid,6/23/2011,8.07,0,100,0,300,3,4/19/2019,50,CN-2,15,17,28,16,14,27,22,25,9,1,4,7,9
0917-2141946421,prepaid,6/13/2017,2.01,0,300,0,300,2,4/14/2019,55,CN-3,27,18,16,9,171,300,20,12,1,3,5,17,3
0917-7543541583,prepaid,2/24/2009,10.43,0,500,0,779,2,5/25/2019,14,CN-19,13,16,16,17,207,189,24,9,30,7,9,4,8
0917-8487749268,prepaid,3/17/2017,2.26,0,300,0,394,2,4/15/2019,54,CN-8,21,13,21,26,272,29,26,8,13,1,6,8,0
0917-6018501394,postpaid,7/21/2012,6.98,5,94,599,693,1,5/22/2019,17,CN-20,25,7,7,12,116,299,18,26,13,2,27,20,10
0917-9674527420,prepaid,9/20/2015,3.77,0,20,0,149,5,4/26/2019,43,CN-20,7,7,4,0,102,203,5,16,2,3,19,23,9
0917-2765292943,prepaid,9/28/2010,8.82,0,100,0,400,5,05/09/2019,30,CN-7,30,26,23,29,184,159,7,19,1,4,10,7,10
0917-3083034896,prepaid,01/02/2016,3.48,0,50,0,104,1,5/29/2019,10,CN-15,3,0,6,0,149,273,9,1,23,10,16,3,7
0917-8243212325,prepaid,5/25/2018,1.05,0,100,0,200,3,5/28/2019,11,CN-15,2,0,4,0,216,207,4,30,11,7,7,4,3
0917-2944538128,postpaid,5/15/2015,4.12,1,400,599,999,1,06/05/2019,3,CN-14,2,22,9,18,125,68,21,5,18,8,19,22,9
0917-7896312976,prepaid,12/31/2013,5.51,0,100,0,500,5,04/12/2019,57,CN-2,20,23,17,22,141,255,25,10,19,3,28,3,0
0917-5254032105,prepaid,01/09/2012,7.52,0,300,0,300,2,4/15/2019,54,CN-9,27,12,21,29,238,110,25,14,14,6,19,30,10
0917-7087784333,prepaid,12/30/2017,1.46,0,50,0,125,2,4/28/2019,41,CN-9,5,7,5,0,255,281,16,5,21,1,11,28,0
0917-5446659979,prepaid,08/10/2018,0.84,0,100,0,500,3,5/21/2019,18,CN-16,23,20,8,27,286,16,17,24,24,8,18,29,10
0917-1486556380,prepaid,11/06/2018,0.59,0,30,0,130,1,4/20/2019,49,CN-15,6,7,5,0,221,229,11,23,10,6,11,11,0
0917-8949843424,prepaid,6/23/2018,0.97,0,20,0,75,3,5/24/2019,15,CN-6,3,1,1,0,213,243,22,23,17,9,25,2,7
0917-6527971493,postpaid,02/10/2010,9.46,0,99,1799,1898,1,06/03/2019,5,CN-20,2,17,18,13,218,165,19,29,5,6,29,2,0
0917-8156857181,prepaid,8/16/2012,6.91,0,100,0,400,3,04/08/2019,61,CN-25,9,18,30,11,45,88,18,6,5,7,4,29,0
0917-2933484919,prepaid,6/14/2014,5.05,0,100,0,400,3,4/30/2019,39,CN-14,12,27,30,24,267,261,13,22,3,2,29,15,0
0917-8562187114,prepaid,7/24/2015,3.93,0,100,0,400,4,5/25/2019,14,CN-16,20,18,19,3,272,295,29,11,22,9,19,20,0
0917-4401196660,postpaid,10/28/2013,5.69,0,400,599,999,1,5/25/2019,14,CN-8,11,12,18,4,292,280,27,24,28,3,23,19,0
0917-7644163849,prepaid,8/29/2014,4.84,0,50,0,134,2,4/26/2019,43,CN-21,5,3,5,0,241,216,30,4,17,7,22,22,9
0917-8774837773,prepaid,01/04/2012,7.53,0,50,0,97,1,04/02/2019,67,CN-1,5,0,1,0,218,34,24,12,29,4,27,15,0
0917-6079339949,prepaid,9/15/2010,8.85,0,15,0,58,2,4/30/2019,39,CN-20,6,1,3,0,24,299,25,22,5,3,17,12,9
0917-2149874835,postpaid,1/23/2009,10.52,0,178,999,1177,1,5/18/2019,21,CN-25,22,7,1,28,212,150,9,30,2,4,19,8,7
0917-7364014905,postpaid,11/02/2010,8.72,1,400,599,999,1,06/03/2019,5,CN-22,15,11,13,17,16,208,10,18,2,5,15,11,9
0917-7668605241,prepaid,11/03/2010,8.72,0,20,0,73,2,04/07/2019,62,CN-24,4,2,2,0,255,178,10,25,14,8,7,1,10
0917-1541627765,postpaid,2/21/2009,10.44,0,22,1799,1821,1,5/25/2019,14,CN-20,20,20,27,11,237,48,3,23,8,6,13,7,0
0917-5342577685,prepaid,8/31/2012,6.87,0,300,0,500,2,5/18/2019,21,CN-15,19,29,10,29,117,89,24,12,29,8,10,6,0
0917-3841933766,prepaid,5/20/2010,9.18,0,100,0,500,5,04/05/2019,64,CN-3,25,23,29,16,127,19,5,24,7,6,2,3,0
0917-4348881724,prepaid,10/15/2010,8.77,0,100,0,300,4,5/31/2019,8,CN-9,7,25,12,0,70,101,22,13,6,4,14,29,0
0917-6772272191,postpaid,12/05/2016,2.54,0,260,1799,2059,1,5/25/2019,14,CN-14,23,12,22,3,116,148,23,21,22,2,26,23,9
0917-9995215192,prepaid,1/25/2011,8.49,0,300,0,400,2,04/10/2019,59,CN-23,15,25,25,3,138,14,21,26,28,4,13,23,0
0917-9887555409,postpaid,4/30/2012,7.21,1,280,799,1079,1,5/22/2019,17,CN-2,30,14,18,12,119,79,18,29,7,6,13,28,0
0917-1834510421,prepaid,10/27/2014,4.68,0,100,0,400,5,04/05/2019,64,CN-17,8,24,24,25,238,155,16,24,15,5,17,18,0
0917-7894898994,prepaid,05/06/2019,0.09,0,100,0,100,2,5/16/2019,23,CN-19,3,2,0,0,220,16,13,9,19,10,21,21,3
0917-6571169866,prepaid,12/01/2017,1.54,0,15,0,83,5,05/01/2019,38,CN-2,4,1,0,0,158,18,17,2,15,5,13,19,0
0917-4715911267,prepaid,12/21/2010,8.59,0,100,0,400,2,4/29/2019,40,CN-19,18,30,9,7,67,95,7,4,22,9,7,12,0
0917-4007588755,prepaid,3/29/2011,8.31,0,15,0,147,2,06/03/2019,5,CN-2,3,2,0,0,229,58,11,28,1,8,14,6,0
0917-2855174373,prepaid,7/23/2016,2.92,0,50,0,61,1,04/07/2019,62,CN-16,5,2,2,0,270,197,19,2,4,4,16,20,0
0917-9583277379,postpaid,04/05/2012,7.28,1,101,999,1100,1,5/17/2019,22,CN-14,19,16,3,16,256,256,7,18,12,1,22,11,9
0917-3122371794,prepaid,12/21/2012,6.55,0,100,0,100,2,05/06/2019,33,CN-12,3,2,0,0,259,160,14,24,3,4,11,11,0
0917-6979121827,prepaid,05/05/2019,0.09,0,50,0,177,1,4/21/2019,48,CN-14,1,4,6,0,63,193,15,2,2,2,22,29,0
0917-9202845798,postpaid,1/19/2010,9.52,0,0,599,599,1,5/20/2019,19,CN-10,10,5,3,14,231,45,23,20,29,3,8,25,3
0917-5197300486,prepaid,01/04/2017,2.46,0,100,0,900,2,04/03/2019,66,CN-7,13,19,10,29,267,132,22,20,22,3,18,15,9
0917-2133846465,prepaid,10/01/2009,9.82,0,100,0,500,5,4/14/2019,55,CN-19,24,7,19,0,131,158,19,29,14,3,24,19,8
0917-9699226981,postpaid,9/22/2014,4.78,0,200,599,799,1,06/04/2019,4,CN-13,22,1,13,29,286,71,24,3,19,10,9,26,0
0917-4519797664,prepaid,05/03/2016,3.14,0,300,0,400,2,5/28/2019,11,CN-9,12,30,15,10,268,136,29,26,7,5,3,3,0
0917-8649195366,prepaid,8/13/2012,6.92,0,100,0,100,2,04/01/2019,68,CN-9,6,0,3,0,274,58,25,18,5,2,8,5,0
0917-6452580416,prepaid,2/25/2017,2.31,0,100,0,200,2,05/11/2019,28,CN-11,2,1,4,0,69,124,10,25,2,7,15,2,0
0917-4282932417,postpaid,09/09/2014,4.81,0,49,1299,1348,1,06/05/2019,3,CN-20,20,11,10,7,183,198,13,5,27,3,16,17,0
0917-2199096965,postpaid,11/19/2012,6.64,0,295,1499,1794,1,06/03/2019,5,CN-25,20,30,4,25,136,165,16,21,23,4,18,21,8
0917-1035425437,prepaid,12/29/2012,6.53,0,30,0,73,1,4/14/2019,55,CN-21,6,0,2,0,92,138,1,11,8,9,28,15,0
0917-7131120861,prepaid,7/22/2014,4.95,0,100,0,300,2,04/03/2019,66,CN-8,11,21,30,20,62,177,14,30,7,5,20,9,9
0917-4864522041,prepaid,11/29/2009,9.66,0,100,0,500,6,5/25/2019,14,CN-22,28,22,17,26,194,151,30,13,3,1,19,2,0
0917-7117007644,prepaid,03/07/2011,8.37,0,20,0,147,4,4/18/2019,51,CN-9,1,3,6,0,295,14,29,9,12,3,28,30,0
0917-4152188893,postpaid,12/02/2011,7.62,5,0,799,799,1,06/01/2019,7,CN-3,18,26,16,18,227,267,21,17,27,4,4,18,9
0917-4684427266,postpaid,7/31/2010,8.98,0,101,599,700,1,5/31/2019,8,CN-19,19,13,23,27,287,162,14,24,27,10,3,11,0
0917-2495860625,postpaid,09/09/2012,6.84,0,53,1299,1352,1,5/24/2019,15,CN-21,25,2,11,11,58,139,15,27,2,10,11,12,0
0917-5678269856,prepaid,6/17/2018,0.99,0,50,0,130,2,06/02/2019,6,CN-18,0,3,5,0,297,145,19,4,15,7,19,8,0
0917-3533803645,prepaid,9/26/2012,6.79,0,50,0,146,2,05/08/2019,31,CN-23,7,7,3,0,58,56,15,12,29,3,24,9,0
0917-8889120254,prepaid,3/13/2014,5.31,0,300,0,500,2,4/26/2019,43,CN-1,26,7,22,0,208,297,26,11,22,6,29,2,5
0917-6995606894,prepaid,10/11/2012,6.75,0,50,0,79,1,5/17/2019,22,CN-16,6,0,3,0,192,64,13,5,2,1,26,1,0
0917-8161228407,postpaid,6/16/2012,7.08,3,30,1799,1829,1,5/26/2019,13,CN-22,30,5,30,21,250,262,28,12,29,6,22,23,0
0917-7206912065,postpaid,04/10/2016,3.2,2,500,799,1299,1,5/18/2019,21,CN-15,27,6,11,28,126,131,22,5,21,6,12,13,9
0917-7647918451,postpaid,12/28/2018,0.45,2,32,799,831,1,06/04/2019,4,CN-11,20,1,14,23,117,100,22,17,24,2,14,10,0
0917-9462059247,postpaid,08/12/2014,4.89,0,501,599,1100,1,06/03/2019,5,CN-18,28,21,10,3,36,32,3,8,10,4,11,26,9
0917-2373426378,postpaid,12/16/2010,8.6,0,0,799,799,1,06/05/2019,3,CN-13,19,21,16,19,287,210,6,24,4,1,2,8,0
0917-6307931835,prepaid,3/27/2010,9.33,0,100,0,300,2,04/04/2019,65,CN-11,27,22,23,18,191,176,17,6,10,7,22,14,9
0917-7137348429,prepaid,12/30/2009,9.57,0,100,0,400,5,04/06/2019,63,CN-4,12,20,8,12,187,233,28,14,29,10,3,1,0
0917-5673091980,prepaid,07/03/2018,0.94,0,300,0,575,2,04/12/2019,57,CN-12,27,20,10,5,153,23,6,30,1,3,5,13,0
0917-1527550971,prepaid,6/26/2010,9.08,0,100,0,300,3,4/30/2019,39,CN-9,30,8,8,29,36,238,14,1,21,7,3,23,3
0917-4838092817,postpaid,6/26/2011,8.07,0,55,599,654,1,5/25/2019,14,CN-20,29,12,28,15,273,76,27,20,27,4,30,15,9
0917-5042407585,postpaid,01/05/2010,9.56,5,700,799,1499,1,5/29/2019,10,CN-13,28,2,30,14,181,185,16,27,9,1,16,17,0
0917-5875444034,prepaid,04/08/2016,3.21,0,100,0,300,2,5/18/2019,21,CN-24,26,9,21,25,80,12,26,9,28,1,4,9,5
0917-3509459014,prepaid,4/15/2015,4.21,0,50,0,162,3,4/28/2019,41,CN-18,4,6,4,0,198,114,2,1,25,5,1,2,0
0917-9575237783,prepaid,4/23/2018,1.14,0,100,0,400,3,5/19/2019,20,CN-11,17,27,12,12,85,186,17,4,17,9,30,11,0
0917-1926347349,postpaid,2/13/2014,5.39,0,55,799,854,1,5/24/2019,15,CN-22,24,12,13,3,151,144,6,20,26,6,3,3,7
0917-7695288437,prepaid,4/25/2016,3.16,0,15,0,80,2,05/02/2019,37,CN-19,7,2,0,0,144,251,12,30,28,3,7,6,9
0917-8557605306,prepaid,12/27/2015,3.5,0,50,0,104,1,5/21/2019,18,CN-7,4,5,6,0,93,177,24,15,30,5,24,24,0
0917-9448319920,prepaid,05/10/2018,1.09,0,100,0,400,4,06/03/2019,5,CN-8,17,15,30,16,263,132,19,20,25,10,9,25,0
0917-1271953543,prepaid,9/20/2016,2.75,0,100,0,700,6,04/04/2019,65,CN-1,27,24,11,27,182,239,5,13,7,5,27,5,0
0917-1132663733,prepaid,07/11/2011,8.02,0,100,0,400,3,5/25/2019,14,CN-24,15,14,12,4,108,77,29,6,13,8,3,15,7
0917-7557236290,prepaid,2/15/2015,4.37,0,20,0,59,1,5/20/2019,19,CN-13,4,1,0,0,195,142,2,30,27,7,16,10,9
0917-2656331040,prepaid,5/21/2014,5.12,0,100,0,400,4,05/07/2019,32,CN-17,22,24,19,13,242,61,2,18,17,6,16,20,0
0917-3782059730,prepaid,04/03/2013,6.27,0,100,0,1000,6,06/05/2019,3,CN-15,12,12,29,19,262,299,6,26,5,3,26,30,10
0917-4902085159,postpaid,07/09/2012,7.01,0,200,599,799,1,5/22/2019,17,CN-10,2,2,11,11,6,246,26,1,4,3,30,27,0
0917-3675741229,postpaid,1/22/2012,7.48,0,0,799,799,1,06/04/2019,4,CN-11,27,15,8,24,221,10,20,24,5,2,12,3,0
0917-9188092482,prepaid,6/24/2016,3,0,50,0,93,1,5/18/2019,21,CN-19,1,2,2,0,57,117,8,15,7,9,30,2,9
